username,text,created_at,retweets,likes,search_terms
Fantástico,"O esquema desviou mais de R$ 7 milhões. Segundo a polícia, o dinheiro era repartido entre o presidente da APAE de Bauru, a diretora executiva dele e empresários, que emitiam notas fiscais: https://t.co/KpRTGWt6Kx #Fantástico",2025-01-06 01:59:17+00:00,2,26,polícia
drussyler,Graças a Deus o bauru é um micoooo porque imagina deixar o Sesc que tava morto daquele jeito crescer no jogo,2025-01-16 23:11:05+00:00,0,5,morto
Jornal Diário do Estado,Fraude em Bauru (SP): grupo criminoso de São Paulo lesou vítimas em R$ 80 mil. Líder preso. ➡️ Leia: https:// https://t.co/lCiptsFsc6 https://t.co/iXja41Y8Lg,2025-01-17 17:34:17+00:00,0,0,"criminoso, preso"
Agência SP,"#Saúde @governosp destina R$ 12,4 milhões para intensificar o combate à dengue na região de Bauru.
https://t.co/OFews0v7JJ",2025-01-25 14:05:25+00:00,0,0,dengue
Polícia Militar do Estado de São Paulo,"PM flagra dupla vendendo drogas perto do “Alfredão"", estádio do Noroeste, em Bauru/SP

➡️ Adolescente foi apreendido e homem preso com porções de crack, haxixe e cocaína, além de cerca de R$ 1,5 mil em dinheiro.

Confira: https://t.co/EpQxx3tjGh https://t.co/NbonmJynUf",2025-01-26 13:39:51+00:00,7,43,"cocaína, crack, droga, preso"
Estradas.com.br,Acesso à SP-225 terá interdição para obras na marginal em Bauru https://t.co/KatX1QPZbY via @sosestradas,2025-01-27 12:52:18+00:00,0,0,"interdição, obra"
Metrópoles,"➡️  Trio de bolivianos é preso com drogas no estômago em rodovia

Bolivianos foram presos dentro de ônibus após abordagem da PM em rodovia de Bauru (SP). Trio foi levado para delegacia da PF na região

Leia:  https://t.co/ENnBNksmDC https://t.co/TlqSlGdoa2",2025-01-29 23:36:21+00:00,1,6,"delegacia, droga, preso, ônibus"
Jornal Diário do Estado,Mulher morre em colisão entre carro e moto na Marechal Rondon em Bauru ➡️ Leia: https:// https://t.co/0nh1apOpkR https://t.co/IF7HQnGyDA,2025-01-30 15:51:32+00:00,0,1,"carro, morre, moto"
Polícia Militar do Estado de São Paulo,"Moto roubada é recuperada pela Polícia Militar em Bauru/SP

➡️ Criminosos trocaram a cor do veículo para que ele não fosse identificado.

Confira: https://t.co/4400pgSd78 https://t.co/nHvDXGOXb6",2025-02-03 19:17:29+00:00,0,14,"criminoso, moto, polícia, roubada"
Ponte Jornalismo,"Vítimas da violência policial fazem oitavo protesto em Bauru: ‘Desejamos justiça’

Manifestação promovida por amigos e familiares de mortos em ações da PM aconteceu no sábado (15/2).

Por: Catarina Duarte

Leia a reportagem completa: https://t.co/Az0SqmVQ2m",2025-02-17 16:46:57+00:00,9,26,"morto, violência"
Monica das Pretas,"🚨VIOLÊNCIA POLICIAL EM BAURU 🚨
[ALERTA GATILHO]

Policiais agridem uma família no bairro Ferradura-Mirim. A família e testemunhas relatam que a polícia agrediu e forjou o jovem.

Com a escalada de violência, Mães que se organizam na cidade denunciam perseguição e o movimento https://t.co/2cfwdpD9Ny",2025-02-17 21:13:05+00:00,2,14,"polícia, violência"
