username,text,created_at,retweets,likes,search_terms
Emanuel B. Leite,"Demetrius leva a melhor no terceiro jogo da série entre Paulistano e Bauru. Com apenas 2 segundos, Brunão faz o gamewinner e o time da capital pode fechar a série em casa.

Água no chope total para a prorrogação que Brite poderia ter conseguido para o Bauru. Jogaço dos técnicos. https://t.co/X8Qu53RfVC",2025-04-27 23:16:22+00:00,0,5,água
g1 Bauru,"Motociclista morre após bater em talude na rodovia Professor Hipólito Martins
https://t.co/QUj8qEwYzK

#g1 #Botucatu https://t.co/Sy7RjEqTOM",2025-04-28 16:25:12+00:00,0,0,"morre, moto"
ximbuquinha,bota sequestro relâmpago bota caminhão desgovernado bota fio desencapado bota ferrovia enferrujada bota trem passando por cima bota avião caindo rodando bota queda de prédio bota rodeio sem boi bota na minha vida papai do céu bota,2025-04-28 19:07:28+00:00,0,0,"caminhão, queda"
Joaquim Rubio Neto,"@alexandregarcia Saudades mesmo. Na minha infância, viajava de Tupã a São Paulo. Em Marília, aclopava o vagão restaurante, e em Bauru, o vagão leito. Por volta das 6 e meia, Estação da Luz. Tempo bom❤️",2025-04-29 09:47:25+00:00,0,2,luz
Jornal A Tribuna,"🚔 Homem suspeito de atirar em quatro pessoas em quiosque de praia no litoral de São Paulo é preso

Homem, de 51 anos, foi detido em Bauru (SP) e afirmou à polícia que estava escondido há 30 dias na cidade ⬇️
https://t.co/3QUvMmamC7",2025-04-29 15:27:51+00:00,0,3,"polícia, preso"
g1 Bauru,"🛣️Motorista morre após carreta carregada com limões tombar em alça de acesso à SP-300 em Bauru
https://t.co/cSHkIf0ldS #g1 #Bauru https://t.co/WKFIj7Mk8p",2025-04-30 18:52:32+00:00,0,0,"morre, moto"
Fúria e Tradição,"Dois ladrões entram numa residência de madrugada para roubar, mas o marido enfrenta os bandidos e consegue espanca-los.

A esposa chamou a polícia que prendeu os bandidos, e o marido decidiu ir junto para a delegacia para se certificar que o BO seria feito.

A surpresa é que o https://t.co/rJN9yf1Vco",2025-05-02 14:02:00+00:00,1464,6845,"bandido, delegacia, polícia, presa"
Fúria e Tradição,"Dois ladrões entram numa residência de madrugada para roubar, mas o marido enfrenta os bandidos e consegue espanca-los.

A esposa chamou a polícia que prendeu os bandidos, e o marido decidiu ir junto para a delegacia para se certificar que o BO seria feito.

A surpresa é que o https://t.co/rJN9yf1Vco",2025-05-02 14:02:00+00:00,1877,8404,"bandido, delegacia, polícia, presa"
g1 Bauru,"🕳️Carro cai em cratera aberta para obra de drenagem no Parque Primavera em Bauru
https://t.co/NqRvgC9JLJ #g1 #Bauru https://t.co/sk5NuYkB4O",2025-05-02 20:42:48+00:00,0,0,"carro, cratera, obra"
Portal AtaNews,Carro cai em cratera aberta para obra de drenagem em Bauru https://t.co/l9j2U1AmG6 x,2025-05-03 12:10:57+00:00,0,1,"carro, cratera, obra"
g1 Bauru,"🛣️Motorista morre após carreta bater contra talude na rodovia Comandante João Ribeiro de Barros em Pederneiras
https://t.co/82WgfXi6oH #g1 #Pederneiras https://t.co/iqOPVl6fE1",2025-05-03 15:21:33+00:00,0,0,"morre, moto"
geradora infinita de lerolero by :3 Gabi,"Hj vou usar a mesma roupa que usei quando deixei o ramemes no busao de bauru pra sp pra ver se ele lembra de mim
Pq na época eu tava careca e agr eu tô com o cabelo grande https://t.co/ROyw4Eqh9g",2025-05-17 00:17:49+00:00,0,30,upa
carol ℗,28 reais o uber p rodoviaria nao to querendo acreditar que vai debitar este ROUBO nao vai se foder bauru,2025-06-18 21:37:12+00:00,0,5,roubo
Polícia Federal,"🚨🚔#OPERAÇÃOPF | PF desarticula organização criminosa especializada em lavagem de dinheiro do tráfico de drogas. Foram cumpridos 8 mandados de busca e apreensão em Bauru e Piratininga.

➡️Saiba mais: https://t.co/X62qfs319k https://t.co/eUXYqj2Mzx",2025-06-26 14:51:28+00:00,26,97,"criminosa, droga, operação, tráfico"
Jornal Diário do Estado,Prisão de 3 pessoas por furto de cobre e construção em Bauru: flagrantes recentes ➡️ Leia: https:// https://t.co/tp8fHosjmy https://t.co/Sp0sUX3S3h,2025-07-28 14:06:13+00:00,0,0,"furto, prisão"
laura palmer de bauru,"sabe qual é a única população no brasil que vive uma guerra de guerrilha a mais de trinta anos contra o Estado brasileiro?
São as transexuais, especialmente as travestis negras, que lutam diariamente contra o cistema de morte que nos cerca e mata sem dó",2025-07-28 19:29:37+00:00,16,139,morte
si,ai se eu tivesse em bauru ja estaria com a cerveja em uma mao um paiero merda na outra chorando na calçada esperando meu mana poke,2025-07-29 16:42:44+00:00,0,6,calçada
Dr Hélio Santos,"Quem conheceu o “Trem da morte” da NOB - Noroeste do Brasil?
Um percurso de Bauru à Santa Cruz de La Sierra, Bolívia!",2025-08-02 17:45:26+00:00,3,6,morte
Ipem-SP,"Em Bauru, Ipem-SP realizará verificação de radar na avenida Cruzeiro do Sul. Saiba mais, acesse https://t.co/G2nNItjVFX

#ipemsp #metrologia #consumidor #fiscalização #infraestruturadaqualidade https://t.co/cqBD0NTWsN",2025-08-08 15:36:34+00:00,0,0,radar
Agência SP,"A partir desta sexta-feira (8), o @governosp leva para a região de Bauru o atendimento da Cabine Lilás, projeto da Polícia Militar voltado ao acolhimento de mulheres vítimas de violência doméstica.

Acompanhe os detalhes.👇 https://t.co/M7jA3R9cbW",2025-08-08 21:10:54+00:00,0,0,"polícia, violência"
Segurança Pública de SP,"A região de Bauru agora conta com a Cabine Lilás, um espaço dedicado a acolher e proteger mulheres que enfrentam a violência doméstica.

Confira 👇 https://t.co/mfCiHJiM9k",2025-08-09 15:01:33+00:00,0,1,violência
bauru,"Agressor da loja @OficialWTennis .
Sábado, 30, às 10 h, vai ter um protesto contra a violência no local (esquina rua 13 de Maio x Rua Batista de Carvalho). https://t.co/V4JJo4k4Mu",2025-08-26 16:13:33+00:00,0,0,violência
Polícia Militar do Estado de São Paulo,"Casal é preso por tráfico de drogas em Bauru/SP
Confira:https://t.co/gircfj4HFP https://t.co/QNiV418p2D",2025-08-27 11:37:57+00:00,2,17,"droga, preso, tráfico"
Rádio BandNews FM,Prefeitura de Bauru anuncia rodízio de abastecimento de água em meio à seca na região z #DIIAC #BandNewsStation https://t.co/14CSH6UjtE,2025-08-29 15:43:56+00:00,1,0,"prefeitura, água"
Polícia Militar do Estado de São Paulo,"Dupla é presa por furto em Bauru/SP

No domingo (31), policiais do 4º Batalhão de Polícia Militar do Interior prenderam dois envolvidos em furto a um estabelecimento comercial em Bauru/SP.

No local, foi apreendido um caminhão baú carregado com suplementos e placas veiculares https://t.co/RuMEDL0iYQ",2025-09-01 13:08:32+00:00,1,17,"caminhão, furto, polícia, presa"
Direita Raiz 🇧🇷🇮🇱,"Em Bauru, homem de 26 anos ataca menina de 12 anos que ia para escola com colega, um homem de um astra que aparece no video notou algo estranho e abordou o sujeito, a menina chorando correu, a população agrediu o assediador que foi preso por tentativa de estupro https://t.co/Mn0SS4Nveo",2025-09-02 11:36:41+00:00,1,46,"estupro, preso"
Jornal Diário do Estado,Quadrilha é presa por falsificação de garrafas de cerveja em galpão de Bauru: suspeitos de vários estados confessam crime ➡️ Leia: https:// https://t.co/VxcFbmQylq https://t.co/ZG8rm6RmWD,2025-09-02 22:46:32+00:00,0,0,"crime, presa"
Metrópoles,"⏯️ Um motorista evitou que uma menina de 12 anos fosse vítima de estupr0 nessa segunda-feira (1º/9), em Bauru, São Paulo. Imagens registradas por câmera de segurança mostram o momento em que o homem estaciona e sai do carro após notar a situação para abordar o suspeito do crime, https://t.co/7in6EX77eE",2025-09-03 21:00:47+00:00,30,950,"carro, crime, moto"
José Luiz Dread,"Um motorista evitou que uma menina de 12 anos fosse vítima de estupro no bairro Vila Maria, em Bauru (SP). Wilian Ribeiro, que havia acabado de deixar seu filho na escola, percebeu a situação suspeita e decidiu intervir. O suspeito, 26 anos, foi preso. https://t.co/bDvIurK7KK",2025-09-04 12:04:42+00:00,0,0,"estupro, moto, preso"
MixVale,"Motorista impede estupro de menina em Bauru com ação rápida e corajosa

#Bauru #estupro #Motorista

https://t.co/HYenAzLZQf",2025-09-05 13:45:17+00:00,0,0,"estupro, moto"
Portal Roma News,"Um ato de coragem salvou uma menina de 12 anos em Bauru, interior de São Paulo. Na segunda-feira (01), o empresário Willian Ribeiro, de 31 anos, reagiu ao perceber que um homem de 26 anos estava abordando a estudante com intenção de estupro. https://t.co/iRF7HuNGlU",2025-09-05 17:03:16+00:00,0,5,estupro
g1 Bauru,"Motorista sofre mal súbito e bate ônibus contra semáforo em Bauru
https://t.co/U3lISmzR71

#g1 #Bauru https://t.co/4sYxg8qQCH",2025-09-07 21:20:54+00:00,0,3,"moto, semáforo, ônibus"
g1 Bauru,"Homem é preso suspeito de torturar, agredir e manter companheira em cárcere privado
https://t.co/VRGsr3KXWO

#g1 #Guaimbê https://t.co/vLI1TwSh1J",2025-09-10 18:15:54+00:00,0,0,preso
g1 Bauru,"🚨Idoso morre atropelado na faixa de pedestre no interior de SP
https://t.co/OAw69fIUTY #g1 #Marília https://t.co/1ZMIaGZ09Q",2025-09-13 17:07:13+00:00,0,0,"morre, pedestre"
g1 Bauru,"Carro pega fogo após atingir árvores e poste em Bauru
https://t.co/zUf9JuGHeI

#g1 #Bauru https://t.co/BPxNjeNSWi",2025-09-15 17:23:42+00:00,0,1,"carro, fogo, poste, árvore"
g1 Bauru,"🚨Suspeita confessou o crime

Mulher é morta a facada durante briga em bar no interior de SP  https://t.co/DHhI6KFkdz #g1 #ParaguaçuPaulista https://t.co/yuZdPeO25z",2025-09-15 20:18:45+00:00,0,0,"crime, morta, upa"
g1 Bauru,"🚨Batida lateral

Motociclista morre após bater em carreta em vicinal de Piratininga https://t.co/oFep5LUoe4 #g1 #Piratininga https://t.co/VDlYdiz0sL",2025-09-15 21:19:16+00:00,0,0,"batida, morre, moto"
Polícia Militar do Estado de São Paulo,"Homem é preso com arma de fogo após denúncia de violência doméstica em Bauru/SP
Confira: https://t.co/ili96b9AqZ https://t.co/0NBsLTZKEQ",2025-09-16 17:12:31+00:00,0,8,"fogo, preso, violência"
Radar Econômico,Grupo Santa chega a São Paulo com aquisição de hospital em Bauru https://t.co/fLfdmpjcB2,2025-09-16 19:37:13+00:00,0,0,hospital
VEJA,"Grupo Santa chega a São Paulo com aquisição de hospital em Bauru

Via @EconomicoRadar  https://t.co/2wsEFmscAS",2025-09-16 19:37:57+00:00,0,4,"hospital, radar"
g1 Bauru,"⚖️ Justiça suspende pela terceira vez edital de concessão de estação de tratamento de esgoto
https://t.co/Xxbong4vdI #g1 #bauru https://t.co/HJ07VJZpz5",2025-09-18 23:27:57+00:00,0,1,esgoto
evil advisor coded 🪡,#spoiler da minha árvore genealógica targaryen 🐉 https://t.co/VJ6m9M1TOV,2025-09-19 18:31:34+00:00,7,29,árvore
g1 Bauru,"🎥VÍDEO: homem é preso suspeito de atear fogo em terreno no centro de Botucatu
https://t.co/8J0s64NDZc #g1 #Botucatu https://t.co/QL2J8GPUEG",2025-09-19 21:16:00+00:00,0,1,"fogo, preso"
Sofreneja,"Contagem regressiva! No dia 27, Bauru recebe o Cê Tá Doido Festival com shows, energia e aquela vibe que já conquistou o Brasil 🔥 https://t.co/PYgQdwIynh",2025-09-19 23:56:05+00:00,0,3,energia
g1 Bauru,"🚨 Carreta pega fogo e causa interdição parcial na Raposo Tavares
https://t.co/xyEm31Z8S8 #g1 #Rancharia https://t.co/H1oRe3bwdY",2025-09-20 20:51:56+00:00,0,0,"fogo, interdição"
g1,Moradores se unem para salvar jovens atingidas por árvore na saída de escola durante temporal em SP https://t.co/eGob6xHATm #g1 https://t.co/1ItIieCvrH,2025-09-23 18:18:34+00:00,7,75,"temporal, árvore"
🇧🇷 Daniel Marques Santos,"🔱🤡 ESTELIONATO ELEITORAL EM BAURU: Em 2020...como resolver a falta d'água...2024 estiagem pessoal, vamos orar...Incapacidade ou cara de pau? Qual a mentira/desculpa para 2025? Ambos! Esta é a BolSuelen 🤮 https://t.co/0IH4wzl6Th",2025-09-24 12:58:21+00:00,2,5,água
sons do Brasil 🎶,"Num dia como este há 83 anos nasceu em Bauru, interior de São Paulo, Hareton Salvanini

Na incapacidade de escolher uma faixa de seu disco de 1973 pra compartilhar aqui, compartilho a primeira “Eu hoje acordei com a luz do sol” apostando que você não vai conseguir parar nela ✨ https://t.co/AY4AkoMOcq",2025-09-25 11:12:42+00:00,8,54,luz
g1 Bauru,"Vara da Fazenda Pública determina que companhia restabeleça a energia elétrica em Marília
https://t.co/BiTII2H8WQ

#g1 #Marília https://t.co/YIOcHoSaXj",2025-09-25 17:42:30+00:00,0,0,energia
g1 Bauru,"🚨Dupla é presa com mais de meia tonelada de drogas em rodovia do interior de SP
https://t.co/v6DKsm6tY7 #g1 #SaltoGrande https://t.co/YNEfqNbbSE",2025-09-25 19:28:20+00:00,0,0,"droga, presa"
Folha Cotidiano,"Sem chuvas, Bauru (SP) endurece racionamento de água https://t.co/8l3Evf0Emk",2025-09-27 02:13:03+00:00,1,1,"chuva, água"
ISA,"ESSA É SUÉLEN.  PREFEITA DE BAURU.  BOSONARISTA. AMIGA DE BOSONARO , O QUE ESTÁ ACONTECENDO. SUÉLĘN. TERIA  FALADO QUE FAZERIA O POÇO PARA NÓS MORADORES DE BAURU E CONFIAMOS O DAE.  QUE MANDA AGUA PARA NÓS MORADORES, FICOU TEMPO SEM CHOVER. NO RIO BATALHA E AGORA ELA SUÉLEN QUER https://t.co/cGaUkHxPB9",2025-09-27 11:21:24+00:00,1,0,dae
g1 Bauru,"🦟'Dentracher'

Aplicativo desenvolvido na Fatec Botucatu ajuda a identificar pontos de proliferação da dengue https://t.co/ftZRSUTWLx #g1 #Botucatu https://t.co/qJEfyV70OZ",2025-09-27 13:20:40+00:00,0,1,dengue
manu,estudando igual os incas maias e astecas pq nesse bosta de cidade chamada Bauru não existe água e nem energia,2025-09-27 21:06:52+00:00,0,3,"energia, água"
g1 Bauru,"🛣️Motorista é preso transportando mais de 10 kg de skunk em rodovia de Pongaí
https://t.co/W7aL0wMsHX #g1 #Pongaí https://t.co/qh67L25oam",2025-09-28 18:23:31+00:00,0,1,"moto, preso"
toiao,preciso que alguém me envie anonimamente um bauru de coração sem salada + uma coca zero caso de Vida ou Morte,2025-09-28 23:20:47+00:00,2,6,morte
Otávio,O apogeu da história da humanidade vai ser quando inventarem uma maquina que rastreia quem começou uma queimada dai o Estado usa todos os seus recursos pra aniquilar essa pessoa da forma mais dolorosa possivel vai se fuder fumaça do caralho já é seco em bauru e os cara ficq nessa,2025-09-29 04:08:35+00:00,0,8,"fumaça, queimada"
sunny's gang,ja é a segunda queimada aqui perto do meu apto nessa semana cade a policia ambiental de bauru,2025-09-29 17:58:47+00:00,0,6,queimada
Rafael Moia Filho,"Mais um incêndio criminoso na cidade de Bauru, onde convivemos com uma estiagem severa. Não chove há meses e os criminosos continuam ateando fogo em matas e vegetações na área urbana da cidade. Autoridades? Vão bem obrigado, mas não demonstram nenhuma preocupação com os desastres https://t.co/eb4R2UxTsm",2025-09-29 18:44:41+00:00,0,5,"criminoso, fogo, incêndio, upa"
tomatinho,queria q a mao daquele segurança que pegou na karina caísse pegasse fogo necrosasse sangrasse ferisse amputasse apodrecesse desintegrasse murchasse enrugasse encolhesse ressecasse deteriorasse dissolvesse despedaçasse carbonizasse dilacerasse desfalecesse gangrenasse e virasse pó,2025-09-30 16:59:39+00:00,17,27,fogo
"11.10 TRES4 10 ANOS att, Maria Máquina","imagina ter um galpão pros coletivos daqui de bauru conseguirem fazer os roles em um espaço grande, não absurdamente caro, com alvará, energia elétrica e banheiro?
tipo,pode deixar que o resto nois desenrola sabe, mas por favor alguém precisa fazer algo sobre isso",2025-09-30 22:05:03+00:00,0,12,energia
morto-vivo desanimado,"meus parabéns pros arrombados do caralho que tão queimando bauru inteira pra construir imóvel, vão lucrar bastante com a especulação imobiliária e quando a cidade virar um deserto sem água e sem vida partem pra próxima",2025-09-30 23:20:55+00:00,0,0,água
Jornal Diário do Estado,Racionamento de água em Bauru: Prefeitura distribui galões para população abastecida pelo Rio Batalha. Medidas para enfrentar a estiagem. ➡️ Leia: https:// https://t.co/bSHUGnKn5C https://t.co/q4N8hgWuQh,2025-09-30 23:37:25+00:00,0,0,"prefeitura, água"
🦀Siri Rolinho🦀,"E agora a cidade inteira tá fumaça e fuligem e eu quero ver o que a desgraçada da prefeita vai falar, porque eu te amaldiçoo prefeitura de bauru, eu amaldiçoo seu solo profano construído em cima de queimada ilegal e nepotismo",2025-10-01 01:01:58+00:00,7,26,"fumaça, prefeitura, queimada"
ؘ,"Perdeu tudo, morando em Bauru sem água e com tudo pegando fogo",2025-10-01 01:21:36+00:00,2,5,"fogo, água"
𝖌𝖚𝖘𝖙𝖆𝖛𝖔,toma no cu as queimada de bauru,2025-10-01 01:28:49+00:00,0,1,queimada
Henritado,Impossível dormir com esse calor e cheiro insuportável de queimada que está em Bauru,2025-10-01 03:07:08+00:00,0,3,queimada
lau,Minha preocupação era morrer por envenenamento de metanol no final de semana mas com essa queimada em bauru nem no final de semana eu chego,2025-10-01 03:28:58+00:00,0,2,"morre, queimada, upa"
RodriguihBR ☁️,"com essa queimada que ta rolando em bauru, ta ruim de respirar ja mano... e acho incrivel que o governo daqui não faz absolutamente nada pra evitar isso",2025-10-01 03:49:40+00:00,0,2,queimada
Cássio,"A situação da cidade de @Bauru,estamos em racionamento de água,e para ficarmos 14h com água mas no dia que a água e para vir não tem pressão para subir para as caixas para abastecer nossas casas.5 dias sem abastecer a caixa aqui em casa.
#BDSP @tvtembau #bauru #jdterrabrancabauru https://t.co/nuWJMCjbzj",2025-10-01 09:51:13+00:00,0,1,água
Portal AtaNews,Idoso reage e mata homem a facada após furto em Bauru https://t.co/mrdJk9o3at,2025-10-01 10:39:26+00:00,0,0,furto
Portal AtaNews,Homem é preso suspeito de homicídio após ser visto carregando perna humana em Bauru https://t.co/4iEUyxOl2l,2025-10-01 11:46:36+00:00,0,0,"homicídio, preso"
Diário da Manhã,"Polícia Civil combate crimes ambientais em nascente de córrego em Aparecida
Leia mais: https://t.co/I1cTlywZYC https://t.co/xGpdcHHDj5",2025-10-01 14:07:31+00:00,0,0,"crime, polícia"
HiperNotícias,Preso por quebrar casa e ameaçar esposa promete sair da cadeia para matá-la | HiperNotícias - Você bem informado https://t.co/0ALuAEhBUh https://t.co/4BCEMEHapd,2025-10-01 14:10:14+00:00,0,0,preso
Diário de Araxá,"Prisão por tráfico de drogas é realizada no Centro de Araxá

https://t.co/YGEj3TxHji https://t.co/wCuehRWigB",2025-10-01 14:40:23+00:00,0,0,"droga, prisão, tráfico"
